dataset,model,fold_id,acc,f1_macro
GunPoint,Baseline(LogReg),0,0.975,0.9749843652282677
GunPoint,Baseline(LogReg),1,0.925,0.9249530956848031
GunPoint,Baseline(LogReg),2,0.9,0.899749373433584
GunPoint,Baseline(LogReg),3,0.85,0.849624060150376
GunPoint,Baseline(LogReg),4,0.95,0.949874686716792
GunPoint,Baseline(LogReg),5,0.925,0.9249530956848031
GunPoint,Baseline(LogReg),6,0.9,0.898989898989899
GunPoint,Baseline(LogReg),7,0.925,0.9249530956848031
GunPoint,Baseline(LogReg),8,0.975,0.9749843652282677
GunPoint,Baseline(LogReg),9,0.825,0.8248905565978737
GunPoint,Baseline(LogReg),10,0.925,0.9245757385292269
GunPoint,Baseline(LogReg),11,0.9,0.899749373433584
GunPoint,Baseline(LogReg),12,0.925,0.9249530956848031
GunPoint,Baseline(LogReg),13,0.9,0.9
GunPoint,Baseline(LogReg),14,0.9,0.899749373433584
GunPoint,TDA_single(LogReg),0,0.925,0.9249530956848031
GunPoint,TDA_single(LogReg),1,0.975,0.9749843652282677
GunPoint,TDA_single(LogReg),2,0.95,0.949874686716792
GunPoint,TDA_single(LogReg),3,0.925,0.9249530956848031
GunPoint,TDA_single(LogReg),4,0.9,0.899749373433584
GunPoint,TDA_single(LogReg),5,0.975,0.9749843652282677
GunPoint,TDA_single(LogReg),6,0.95,0.95
GunPoint,TDA_single(LogReg),7,0.95,0.949874686716792
GunPoint,TDA_single(LogReg),8,0.975,0.9749843652282677
GunPoint,TDA_single(LogReg),9,0.85,0.849624060150376
GunPoint,TDA_single(LogReg),10,0.9,0.899749373433584
GunPoint,TDA_single(LogReg),11,0.95,0.949874686716792
GunPoint,TDA_single(LogReg),12,0.95,0.949874686716792
GunPoint,TDA_single(LogReg),13,0.9,0.899749373433584
GunPoint,TDA_single(LogReg),14,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),0,0.95,0.95
GunPoint,TDA_multiscale(SVM),1,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),2,1.0,1.0
GunPoint,TDA_multiscale(SVM),3,0.925,0.9249530956848031
GunPoint,TDA_multiscale(SVM),4,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),5,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),6,0.9,0.899749373433584
GunPoint,TDA_multiscale(SVM),7,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),8,0.95,0.949874686716792
GunPoint,TDA_multiscale(SVM),9,0.975,0.9749843652282677
GunPoint,TDA_multiscale(SVM),10,0.925,0.9249530956848031
GunPoint,TDA_multiscale(SVM),11,1.0,1.0
GunPoint,TDA_multiscale(SVM),12,0.95,0.95
GunPoint,TDA_multiscale(SVM),13,0.95,0.949874686716792
GunPoint,TDA_multiscale(SVM),14,1.0,1.0
